registration date,Топливные составы и металлургия,Медицинские инструменты и терапия,Промышленное хранение и эксплуатация,Авиационно-космические системы,Производство материалов и антенн,Двигатели внутреннего сгорания,Технологии передачи данных,Строительные конструкции,Измерительные системы и датчики,Электронные системы контроля,Пищевая промышленность,Системы автоматического управления,Очистные установки и покрытия,Упаковочные решения,Гидравлическое оборудование,Нефтегазовые и лазерные технологии,Энергетика и переработка отходов,Водоочистка и полимеры,Фармацевтические исследования,Пневматические и шинные системы,Системы обнаружения и диагностики,Автомобильные технологии,Транспортные средства,Оптические и производственные технологии,Фармацевтические композиции,Сварочные и режущие системы,Прогнозирование и развитие,Сельскохозяйственная техника
1994-01-31,6,2,10,11,3,46,7,4,3,3,2,12,9,1,8,6,12,18,3,8,10,4,7,6,7,6,2,4
1994-02-28,4,2,5,3,8,42,5,1,3,7,3,5,7,3,7,7,3,9,4,7,7,4,10,4,11,6,7,12
1994-03-31,4,5,4,3,5,14,8,2,4,5,0,15,13,1,0,4,6,13,1,9,12,6,15,5,5,5,5,9
1994-04-30,3,9,1,1,5,12,4,6,2,5,4,14,6,1,8,9,6,10,3,7,13,7,15,8,3,6,1,3
1994-05-31,2,5,3,2,2,41,7,7,5,2,2,14,5,3,4,6,8,7,3,7,13,4,16,6,2,5,3,5
1994-06-30,1,7,10,11,6,36,9,4,5,4,2,15,6,5,13,5,3,4,4,8,14,20,8,8,5,7,4,7
1994-07-31,6,5,5,5,8,6,3,5,7,6,3,16,16,4,11,4,8,3,0,4,8,2,6,3,10,1,4,6
1994-08-31,2,4,3,2,16,29,5,5,4,6,6,6,5,3,4,10,8,6,3,4,8,6,6,11,12,7,3,5
1994-09-30,3,2,4,5,5,17,14,2,6,7,0,17,6,2,8,8,2,8,1,5,12,5,15,7,0,6,5,4
1994-10-31,3,6,3,4,5,18,8,1,0,4,3,6,5,2,7,14,5,10,1,5,5,6,5,7,17,1,3,6
1994-11-30,1,2,4,4,7,24,9,5,4,1,4,14,10,1,8,7,6,9,1,5,5,5,18,6,3,9,2,3
1994-12-31,1,3,1,7,7,7,11,2,4,6,1,6,4,4,4,3,10,8,0,8,8,5,18,7,11,7,1,3
1995-01-31,3,3,5,6,5,26,8,4,10,5,6,12,22,5,6,12,7,9,1,6,11,3,18,9,12,11,4,5
1995-02-28,4,3,7,4,5,33,7,3,5,5,3,8,4,4,7,9,13,8,2,10,10,4,21,3,13,6,4,10
1995-03-31,7,2,2,7,4,50,4,6,6,6,6,7,10,2,6,10,7,13,4,5,13,10,15,9,4,5,5,4
1995-04-30,2,4,3,4,7,36,3,7,6,3,6,3,15,2,4,6,8,19,3,2,6,14,13,8,13,5,4,3
1995-05-31,3,2,1,22,6,14,3,8,3,4,4,11,11,4,6,7,5,21,2,10,9,4,18,6,18,5,3,6
1995-06-30,4,2,1,6,7,27,11,11,3,5,2,10,9,0,3,9,10,9,1,5,8,0,14,4,13,4,6,4
1995-07-31,4,7,6,3,2,16,2,9,5,7,4,4,11,4,9,9,8,14,5,7,8,42,7,6,10,9,2,5
1995-08-31,8,8,3,7,5,29,9,6,10,8,3,8,17,3,8,7,8,13,2,14,10,18,37,7,15,7,2,5
1995-09-30,3,4,10,2,4,45,3,9,6,8,6,5,6,3,6,10,9,7,3,7,12,23,8,6,7,8,0,4
1995-10-31,5,1,6,8,9,30,9,8,3,5,3,11,11,1,4,3,11,11,2,4,8,8,8,3,12,5,5,2
1995-11-30,5,3,2,5,7,15,4,11,1,9,0,7,10,1,10,8,5,14,2,7,6,21,32,3,10,11,2,5
1995-12-31,2,2,6,6,10,18,6,8,5,1,3,11,8,1,10,7,14,21,0,5,10,17,7,5,19,5,5,3
1996-01-31,4,7,8,6,11,29,5,6,5,6,6,8,6,3,9,6,8,7,4,2,13,8,4,9,18,3,7,8
1996-02-29,3,11,5,6,10,19,5,4,2,8,4,3,9,1,2,9,7,10,1,4,16,6,11,3,19,11,3,7
1996-03-31,7,4,1,5,4,20,3,6,5,8,4,4,12,6,3,8,5,19,6,7,2,13,20,9,19,7,5,7
1996-04-30,7,3,7,3,5,19,2,13,8,6,2,6,9,2,3,7,5,10,1,2,10,4,11,11,13,7,2,8
1996-05-31,5,2,6,10,11,19,5,20,5,6,8,6,9,2,8,6,8,15,4,7,7,0,14,7,13,7,3,3
1996-06-30,8,6,1,6,11,28,3,9,2,5,3,3,8,0,7,6,10,8,0,0,13,3,17,3,11,8,3,3
1996-07-31,7,11,6,3,1,37,2,2,1,6,5,5,8,1,9,3,6,17,3,6,5,0,5,7,7,7,3,3
1996-08-31,2,4,3,10,3,11,1,5,4,3,3,4,7,1,6,4,8,6,1,6,9,6,8,3,10,3,2,6
1996-09-30,6,4,4,2,3,36,6,8,2,5,1,4,6,1,8,3,3,7,0,4,11,7,4,5,12,6,2,5
1996-10-31,2,5,8,3,5,19,8,5,7,4,4,4,5,3,9,5,2,7,2,3,6,6,7,5,7,11,3,8
1996-11-30,5,2,3,2,7,13,4,6,4,6,2,6,2,2,10,3,1,13,2,7,6,1,3,6,5,8,3,9
1996-12-31,3,7,4,5,7,27,8,3,6,5,2,3,10,5,7,4,2,7,4,2,8,9,5,3,11,6,1,5
1997-01-31,3,11,9,4,4,12,2,4,7,3,5,8,9,0,7,3,6,22,1,4,2,3,9,6,11,7,1,6
1997-02-28,5,8,2,2,5,19,8,6,4,6,6,10,15,0,13,5,9,14,2,5,9,8,7,1,22,7,6,2
1997-03-31,4,3,6,9,11,36,2,8,6,5,5,10,15,3,8,11,21,18,4,8,7,6,10,6,15,6,5,5
1997-04-30,4,8,4,9,3,25,1,2,8,10,9,3,10,2,12,12,10,15,5,8,10,12,10,3,16,10,3,6
1997-05-31,2,7,5,6,10,36,7,10,5,9,6,5,19,3,9,10,16,13,3,11,9,11,5,4,5,4,5,4
1997-06-30,7,8,7,11,11,21,8,6,10,10,6,11,12,3,5,4,8,12,4,7,9,9,9,11,10,7,3,6
1997-07-31,12,6,7,14,17,46,5,17,5,8,9,9,16,2,14,14,16,19,2,18,16,9,14,18,21,9,2,7
1997-08-31,11,8,15,9,12,30,13,9,6,5,11,9,8,11,14,9,20,15,4,7,17,13,31,11,25,7,1,6
1997-09-30,11,12,5,16,12,29,8,4,5,8,10,7,8,10,13,8,14,22,6,6,13,13,27,6,24,8,6,12
1997-10-31,13,11,9,16,9,32,6,7,4,6,5,8,15,10,7,9,14,14,6,5,22,11,32,9,18,9,13,5
1997-11-30,5,8,5,19,8,46,10,20,13,11,9,8,25,10,12,11,17,11,6,13,18,7,26,5,29,16,3,8
1997-12-31,6,8,5,5,10,33,12,13,6,13,8,6,9,6,9,12,12,18,5,11,13,28,21,8,41,16,5,10
1998-01-31,6,9,6,8,14,31,9,15,2,11,13,14,6,14,10,8,15,18,16,9,9,6,21,10,19,16,5,15
1998-02-28,5,7,8,2,6,24,11,13,3,10,8,14,14,4,12,7,8,26,3,5,10,7,18,4,23,12,7,4
1998-03-31,3,6,4,8,7,22,7,3,4,8,1,12,12,2,5,0,8,13,7,4,14,9,14,7,18,10,8,3
1998-04-30,5,5,6,7,4,21,10,8,7,10,5,11,11,6,15,7,9,18,7,3,7,13,15,7,20,9,4,3
1998-05-31,6,6,5,9,6,17,9,6,7,5,10,7,13,10,7,5,12,14,6,2,7,9,13,4,23,7,3,4
1998-06-30,6,11,7,12,5,12,8,9,6,6,10,5,8,11,9,7,8,18,4,7,7,10,17,9,16,13,4,7
1998-07-31,7,8,4,7,9,34,11,9,5,6,4,17,13,7,10,3,7,14,8,5,4,10,17,8,46,9,5,8
1998-08-31,5,4,4,5,6,26,2,10,4,6,3,16,6,1,3,5,7,10,2,4,6,17,19,6,13,10,3,7
1998-09-30,3,5,1,4,1,28,6,9,1,4,1,5,7,6,5,2,4,10,1,3,3,6,1,4,14,6,1,4
1998-10-31,4,5,4,5,6,18,5,7,6,1,2,9,7,7,6,5,11,11,3,5,4,7,13,10,22,5,2,9
1998-11-30,4,9,3,4,5,16,8,4,2,3,4,9,12,2,7,8,8,11,7,2,6,3,12,10,12,11,6,8
1998-12-31,5,2,7,8,3,15,5,12,5,5,2,2,11,7,9,7,5,8,4,3,4,7,15,7,22,4,4,6
1999-01-31,7,3,5,10,8,14,6,3,4,5,4,8,14,2,1,7,9,7,0,6,5,4,5,2,27,5,1,3
1999-02-28,6,3,5,5,3,12,6,4,2,4,1,7,5,4,4,6,4,6,5,2,2,8,6,7,38,4,2,2
1999-03-31,2,11,8,12,3,9,9,3,6,0,4,10,5,8,4,6,4,7,2,4,9,13,13,6,25,2,4,2
1999-04-30,1,3,7,5,2,12,4,8,0,4,7,5,1,14,3,5,3,8,4,3,5,8,6,10,29,6,4,7
1999-05-31,7,5,1,14,9,11,5,1,3,7,1,9,6,6,7,6,9,7,5,4,8,10,15,11,28,3,3,10
1999-06-30,4,2,0,8,3,14,11,7,3,1,4,7,10,10,5,3,9,5,1,5,8,12,9,7,14,5,2,3
1999-07-31,3,2,2,5,4,22,2,9,2,4,2,13,7,13,4,5,7,6,2,8,7,9,10,3,14,4,6,5
1999-08-31,9,13,5,11,4,23,8,9,4,2,3,10,15,10,7,7,11,12,4,4,15,7,16,16,30,7,6,5
1999-09-30,11,9,7,12,9,40,10,18,9,10,3,14,10,8,19,8,7,10,5,7,7,6,17,6,49,7,8,12
1999-10-31,4,3,4,4,4,21,2,7,1,2,8,8,5,8,3,9,10,6,5,3,6,4,14,3,31,7,6,9
1999-11-30,4,11,4,9,2,16,2,6,2,0,12,9,10,15,7,8,4,4,4,4,9,12,11,4,35,6,7,5
1999-12-31,3,6,6,6,5,8,5,8,1,4,4,8,8,12,2,9,10,6,4,3,8,5,16,6,34,4,5,3
2000-01-31,6,8,4,12,5,12,7,6,10,6,8,8,6,11,7,10,8,10,5,3,11,10,24,4,20,5,6,5
2000-02-29,2,3,2,2,1,7,7,3,0,3,1,7,5,8,1,2,0,4,0,0,3,5,5,4,19,4,1,2
2000-03-31,2,6,3,3,3,12,7,5,5,3,1,5,6,9,8,2,4,5,1,7,3,7,11,3,15,7,4,2
2000-04-30,3,6,6,4,3,5,3,5,0,5,4,11,6,9,5,4,9,7,5,5,4,8,8,6,16,6,3,6
2000-05-31,7,5,9,7,8,18,5,8,4,14,5,11,7,8,12,5,4,6,1,6,13,15,5,3,16,4,4,4
2000-06-30,11,13,4,9,9,27,6,7,4,7,11,12,6,15,6,4,8,3,3,4,12,9,7,16,18,7,6,10
2000-07-31,3,6,3,9,10,21,6,9,3,4,1,11,9,4,6,2,8,9,4,7,8,9,14,7,28,8,3,10
2000-08-31,3,5,6,11,1,16,9,3,3,4,4,14,15,17,4,2,13,5,7,7,6,5,7,6,26,6,7,2
2000-09-30,2,5,8,6,9,21,13,5,2,2,9,9,7,11,7,10,10,20,5,5,8,12,4,17,22,6,3,5
2000-10-31,3,5,2,3,3,19,3,4,5,4,5,7,6,14,4,4,10,14,3,4,8,5,7,5,26,8,5,4
